WWF_biome,combined_total,hydrological,travel_footprint,Local Residents,Connected Beneficiaries,multiplier
Rock & Ice,6554.031097602332,5323.408119740197,3614.1120812655427,0,6554.031097602332,6554.031097602332
Tundra,922500.2696205161,425777.9006115345,910976.9580702672,283548.9919874321,922500.2696205161,3.2534069797060132
Lakes,7273826.212770138,7115377.338778467,6596889.58607954,0,7273826.212770138,7273826.212770138
Boreal Forests/Taiga,33478167.898555983,27190563.907703493,33089520.05691425,9569525.679204395,33478167.898555983,3.498414552699057
Tropical & Subtropical Coniferous Forests,65086223.447174475,50309262.29339231,63011969.39091429,22000309.61186194,65086223.447174475,2.9584230674681886
Mangroves,94287566.13014965,85279166.21941127,93628567.14757417,46563643.79390119,94287566.13014965,2.0249181216891627
Temperate Conifer Forests,117711346.89168213,102507347.33419955,114326838.03996618,42215155.18240669,117711346.89168213,2.7883670303488244
Flooded Grasslands & Savannas,120147949.57532811,114704235.44096246,118492049.00762753,59568594.716125466,120147949.57532811,2.0169680038264115
Montane Grasslands & Shrublands,168127276.73765633,136647134.8760516,160940907.50765938,69393621.89185658,168127276.73765633,2.422805902820101
"Temperate Grasslands, Savannas & Shrublands",260480359.6495687,227631205.5735717,257423073.38052583,112823255.09837124,260480359.6495687,2.308747070118252
"Mediterranean Forests, Woodlands & Scrub",314818089.1096178,263610850.939346,314117021.25288707,126282903.48759551,314818089.1096178,2.492958907462416
Tropical & Subtropical Dry Broadleaf Forests,533584373.4835198,412928700.82725596,520061969.6780357,175492527.68752524,533584373.4835198,3.040496256533487
"Tropical & Subtropical Grasslands, Savannas & Shrublands",726699308.5220164,590027491.1058711,691779976.3386384,266010347.54368654,726699308.5220164,2.731846017391002
Deserts & Xeric Shrublands,809332967.6495512,677219890.1836966,790844145.4552602,341563269.01626205,809332967.6495512,2.369496491764219
Temperate Broadleaf & Mixed Forests,1841142817.0687432,1608814910.1260245,1807029981.144783,816868871.518988,1841142817.0687432,2.253902531069757
Tropical & Subtropical Moist Broadleaf Forests,2292247508.3306475,1941196909.110101,2219707997.9110436,869106182.0122356,2292247508.3306475,2.6374769340881024
